Claim|Source Name|Source URL|Verdict|Review Publication Date|Image URL|Tags
COMO É QUE ELE CHEGOU? 29 DE JULHO DE 21. (...) E DIZENDO QUE EU DIFUNDI FAKE NEWS. EU DIFUNDI O QUE TINHA DENTRO DO INQUÉRITO [1.361, DE 2018]. SE É FAKE NEWS, O INQUÉRITO É MENTIROSO.|AOS FATOS|HTTPS://WWW.AOSFATOS.ORG/NOTICIAS/APOS-SE-TORNAR-REU-BOLSONARO-MENTE-SOBRE-8-DE-JANEIRO-E-ELEICOES/|FALSO|2025-03-26 07:00:00|HTTPS://ENCRYPTED-TBN1.GSTATIC.COM/IMAGES?Q=TBN:AND9GCSRH4ZYLTX2R39ZH9DYV6KCPDZPUEBLPRY0UNXILJW-G6OAE4NO|['Notícia', '2018', 'Notícia falsa', 'Julho', 'Inquérito policial', '2021', 'Mentira']
EU NÃO INTERFERI NO TSE, O OUTRO LADO INTERFERIU.|AOS FATOS|HTTPS://WWW.AOSFATOS.ORG/NOTICIAS/APOS-SE-TORNAR-REU-BOLSONARO-MENTE-SOBRE-8-DE-JANEIRO-E-ELEICOES/|FALSO|2025-03-26 07:00:00|HTTPS://ENCRYPTED-TBN1.GSTATIC.COM/IMAGES?Q=TBN:AND9GCSRH4ZYLTX2R39ZH9DYV6KCPDZPUEBLPRY0UNXILJW-G6OAE4NO|['Tribunal Superior Eleitoral']
NÃO ENCONTRARAM NENHUMA ARMA AQUI [NO 8 DE JANEIRO]|AOS FATOS|HTTPS://WWW.AOSFATOS.ORG/NOTICIAS/APOS-SE-TORNAR-REU-BOLSONARO-MENTE-SOBRE-8-DE-JANEIRO-E-ELEICOES/|FALSO|2025-03-26 07:00:00|HTTPS://ENCRYPTED-TBN1.GSTATIC.COM/IMAGES?Q=TBN:AND9GCSRH4ZYLTX2R39ZH9DYV6KCPDZPUEBLPRY0UNXILJW-G6OAE4NO|['Arma', 'Ataques de 8 de janeiro em Brasília', 'Janeiro']
EU NÃO PUDE MOSTRAR IMAGENS DO LULA FALANDO QUE UM POBRE COITADO ROUBA CELULAR PARA TOMAR CERVEJINHA.|AOS FATOS|HTTPS://WWW.AOSFATOS.ORG/NOTICIAS/APOS-SE-TORNAR-REU-BOLSONARO-MENTE-SOBRE-8-DE-JANEIRO-E-ELEICOES/|FALSO|2025-03-26 07:00:00|HTTPS://ENCRYPTED-TBN1.GSTATIC.COM/IMAGES?Q=TBN:AND9GCSRH4ZYLTX2R39ZH9DYV6KCPDZPUEBLPRY0UNXILJW-G6OAE4NO|['Luiz Inácio Lula da Silva', 'Imagem', 'Pobreza', 'Telefone celular']
O QUE QUE O LULA FEZ NO FINAL DO ANO PASSADO? TEVE AQUI REUNIÃO DO G20, [ELE] ASSINOU 37 MEMORANDOS E ACORDOS COM A CHINA. ENTRE ESSES ACORDOS, ENTREGOU O NOSSO URÂNIO PARA A CHINA.|AOS FATOS|HTTPS://WWW.AOSFATOS.ORG/NOTICIAS/APOS-SE-TORNAR-REU-BOLSONARO-MENTE-SOBRE-8-DE-JANEIRO-E-ELEICOES/|FALSO|2025-03-26 07:00:00|HTTPS://ENCRYPTED-TBN1.GSTATIC.COM/IMAGES?Q=TBN:AND9GCSRH4ZYLTX2R39ZH9DYV6KCPDZPUEBLPRY0UNXILJW-G6OAE4NO|['Luiz Inácio Lula da Silva', 'Urânio', 'G20', 'Reunião', 'Memorando', '19.ª reunião de cúpula do G20', 'China']
EU MONTEI UM MINISTÉRIO TÉCNICO.|AOS FATOS|HTTPS://WWW.AOSFATOS.ORG/NOTICIAS/APOS-SE-TORNAR-REU-BOLSONARO-MENTE-SOBRE-8-DE-JANEIRO-E-ELEICOES/|FALSO|2025-03-26 07:00:00|HTTPS://ENCRYPTED-TBN1.GSTATIC.COM/IMAGES?Q=TBN:AND9GCSRH4ZYLTX2R39ZH9DYV6KCPDZPUEBLPRY0UNXILJW-G6OAE4NO|['Ministério']
UE CRIA ESCUDO DEMOCRÁTICO EUROPEU QUE PERMITIRÁ A ANULAÇÃO DE ELEIÇÕES|AFP CHECAMOS|HTTPS://CHECAMOS.AFP.COM/DOC.AFP.COM.36YR42P|FALSO|2025-02-28 08:00:00|HTTPS://ENCRYPTED-TBN2.GSTATIC.COM/IMAGES?Q=TBN:AND9GCRBKQJEVZTMEEBJ7LX3QU78OAQONM5LBTEDFLKBJU_SVGRALPS4|['Eleição', 'União Europeia', 'Democracia', 'Europa', 'Partido Democrático Europeu']
FINANCIAL TIMES DISSE QUE JOE BIDEN FRAUDOU ELEIÇÕES BRASILEIRAS DE 2022|AOS FATOS|HTTPS://WWW.AOSFATOS.ORG/NOTICIAS/FINANCIAL-TIMES-BIDEN-ELEICOES-BRASILEIRAS/|FALSO|2025-02-28 08:00:00|HTTPS://ENCRYPTED-TBN0.GSTATIC.COM/IMAGES?Q=TBN:AND9GCSA2NFKWYNGXAF8OI878AP3OFNHI5RJ0Q9-KXVVPE1FZEGWWDS-|['Joe Biden', 'Eleição', 'Financial Times', 'Brasil', '2022', 'Eleições presidenciais brasileiras, 2022']
MARCOS DO VAL REVELA DOCUMENTOS SECRETOS QUE CONTÊM “PROVAS CLARAS” DE QUE “O MODELO DE CENSURA AMERICANO FOI APLICADO NO BRASIL” PARA INTERFERIR NAS ELEIÇÕES PRESIDENCIAIS DE 2022. “ME DERAM A AUTORIZAÇÃO PARA FALAR”, DIZ ELE, ACRESCENTANDO QUE GUARDAVA O MATERIAL, EM SILÊNCIO, DESDE 2023.|UOL NOTÍCIAS|HTTPS://NOTICIAS.UOL.COM.BR/COMPROVA/ULTIMAS-NOTICIAS/2025/02/20/DOCUMENTOS-DA-USAID-SAO-PUBLICOS-NEM-PROVAM-MODELO-DE-CENSURA-NO-BRASIL.HTM|FALSO|2025-02-20 08:00:00|HTTPS://ENCRYPTED-TBN1.GSTATIC.COM/IMAGES?Q=TBN:AND9GCRUCGHSCWSYE3KUETPMFRJ0QIOOHNXGCN6GYS9HYOEKDOFHM950|['Brasil', 'Documento', 'Eleição', 'Marcos do Val', '2022', 'Eleições presidenciais brasileiras, 2022', 'Eleições presidenciais', 'Pará', 'América']
ELON MUSK POSTOU NO X PROVAS DE QUE ELEIÇÕES BRASILEIRAS FORAM FRAUDADAS E QUE JAIR BOLSONARO (PL) VENCEU AS ELEIÇÕES DE 2022|AOS FATOS|HTTPS://WWW.AOSFATOS.ORG/NOTICIAS/FALSO-ELON-MUSK-PUBLICOU-PROVA-VITORIA-BOLSONARO-2022/|FALSO|2025-02-19 08:00:00|HTTPS://ENCRYPTED-TBN3.GSTATIC.COM/IMAGES?Q=TBN:AND9GCS8ECMXDKXGBRKAASDB8FAPAOAITDINVBLMCRFQMUJW2PIA6HEG|['Jair Bolsonaro', 'Elon Musk', 'Eleição', '2022', 'Eleições presidenciais brasileiras, 2022', 'Partido Liberal', 'Brasil']
